Wall time,Step,Value
1686652613.2858772,1860000,-25.40999984741211
1686652689.8917289,1890000,-26.09000015258789
1686652766.9768424,1920000,-26.540000915527344
1686652844.0667639,1950000,-25.469999313354492
1686652920.5174694,1980000,-26.020000457763672
1686652997.6284208,2010000,-28.149999618530273
1686653074.715829,2040000,-28.030000686645508
1686653151.5166333,2070000,-29.68000030517578
1686653228.3123128,2100000,-26.940000534057617
1686653305.5767958,2130000,-24.139999389648438
1686653382.6882057,2160000,-22.899999618530273
1686653459.211685,2190000,-24.1200008392334
1686653536.0065432,2220000,-22.190000534057617
1686653613.0132153,2250000,-21.15999984741211
1686653689.6160116,2280000,-18.5
1686653766.1614077,2310000,-18.190000534057617
1686653843.0672247,2340000,-21.770000457763672
1686653919.8567839,2370000,-24.329999923706055
1686653996.364366,2400000,-24.790000915527344
1686654073.1542912,2430000,-23.639999389648438
1686654150.1529868,2460000,-20.8700008392334
1686654226.8431923,2490000,-15.0
1686654303.691491,2520000,-15.680000305175781
1686654380.9670737,2550000,-19.959999084472656
1686654458.01479,2580000,-19.899999618530273
1686654534.9597049,2610000,-20.219999313354492
1686654612.1911755,2640000,-14.180000305175781
1686654689.461956,2670000,-13.850000381469727
1686654766.4145043,2700000,-14.920000076293945
1686654843.2384958,2730000,-13.65999984741211
1686654920.2499666,2760000,-14.720000267028809
1686654997.3092725,2790000,-11.890000343322754
1686655074.0677898,2820000,-12.819999694824219
1686655151.3039777,2850000,-13.390000343322754
1686655228.668191,2880000,-13.210000038146973
1686655305.5176525,2910000,-13.359999656677246
1686655382.0704544,2940000,-15.640000343322754
1686655459.038388,2970000,-21.610000610351562
1686655535.6309378,3000000,-22.450000762939453
1686655612.2088003,3030000,-21.40999984741211
1686655689.176772,3060000,-11.789999961853027
1686655766.1291177,3090000,-9.0
1686655842.6124086,3120000,-9.430000305175781
1686655919.3140073,3150000,-13.789999961853027
1686655996.4836037,3180000,-14.890000343322754
1686656073.5509646,3210000,-17.690000534057617
1686656150.445103,3240000,-21.309999465942383
1686656227.7449367,3270000,-23.579999923706055
1686656304.8183477,3300000,-20.239999771118164
1686656381.3174653,3330000,-20.899999618530273
1686656458.0131826,3360000,-19.360000610351562
1686656535.0718927,3390000,-16.989999771118164
1686656611.7641485,3420000,-16.850000381469727
1686656688.3725991,3450000,-19.3700008392334
1686656765.4773946,3480000,-15.420000076293945
1686656842.4004884,3510000,-19.229999542236328
1686656918.8657131,3540000,-17.020000457763672
1686656995.5513725,3570000,-17.09000015258789
1686657072.5477612,3600000,-14.6899995803833
1686657149.2285547,3630000,-15.149999618530273
1686657225.7532406,3660000,-14.199999809265137
1686657302.6648543,3690000,-15.319999694824219
1686657379.984454,3720000,-17.450000762939453
1686657456.45468,3750000,-18.450000762939453
1686657533.219609,3780000,-18.170000076293945
1686657610.200028,3810000,-17.260000228881836
1686657687.1156929,3840000,-13.34000015258789
1686657763.6392524,3870000,-13.800000190734863
1686657840.7283452,3900000,-13.390000343322754
1686657917.846731,3930000,-16.34000015258789
1686657994.7879508,3960000,-17.780000686645508
1686658072.0109775,3990000,-17.100000381469727
1686658149.5242407,4020000,-18.56999969482422
1686658226.5763254,4050000,-14.390000343322754
1686658303.5739958,4080000,-19.84000015258789
1686658380.9593194,4110000,-17.209999084472656
1686658458.1745276,4140000,-17.579999923706055
1686658535.1493282,4170000,-14.3100004196167
1686658612.368448,4200000,-7.119999885559082
1686658689.774748,4230000,-8.40999984741211
1686658766.8639293,4260000,-6.829999923706055
1686658843.7800195,4290000,-8.15999984741211
1686658920.910097,4320000,-5.869999885559082
1686658997.9863281,4350000,-6.320000171661377
1686659074.5420022,4380000,-10.989999771118164
1686659152.037168,4410000,-14.300000190734863
1686659228.9940104,4440000,-20.610000610351562
1686659305.6650374,4470000,-27.420000076293945
1686659382.438056,4500000,-27.209999084472656
1686659459.6026275,4530000,-21.6299991607666
1686659536.5862365,4560000,-19.850000381469727
1686659613.2592158,4590000,-16.780000686645508
1686659690.4189608,4620000,-17.239999771118164
1686659767.483237,4650000,-18.489999771118164
1686659844.3917649,4680000,-21.280000686645508
1686659921.682354,4710000,-21.329999923706055
1686659999.324682,4740000,-19.889999389648438
1686660076.698099,4770000,-24.6200008392334
1686660153.723231,4800000,-25.459999084472656
1686660231.2281737,4830000,-25.459999084472656
1686660308.921642,4860000,-23.739999771118164
1686660386.102923,4890000,-28.549999237060547
1686660463.5131752,4920000,-22.309999465942383
1686660541.181922,4950000,-21.059999465942383
1686660618.5602596,4980000,-15.65999984741211
1686660696.0149436,5010000,-16.780000686645508
1686660773.4504282,5040000,-14.579999923706055
1686660850.9228835,5070000,-10.609999656677246
1686660927.9523425,5100000,-6.920000076293945
1686661004.9805307,5130000,-6.889999866485596
1686661082.2241392,5160000,-8.949999809265137
