Wall time,Step,Value
1685262842.224376,30000,-48.79999923706055
1685262934.0725543,60000,-221.77272033691406
1685263028.5538027,90000,-244.2058868408203
1685263123.4852633,120000,-256.19049072265625
1685263218.8785555,150000,-218.3076934814453
1685263314.0145388,180000,-204.72222900390625
1685263409.216611,210000,-196.44186401367188
1685263504.3700438,240000,-191.69473266601562
1685263599.4400508,270000,-207.82000732421875
1685263691.7047331,300000,-213.52999877929688
1685263783.041558,330000,-204.85000610351562
1685263874.4537325,360000,-144.00999450683594
1685263965.7291088,390000,-127.81999969482422
1685264057.103053,420000,-125.37999725341797
1685264148.2493367,450000,-128.42999267578125
1685264239.4880967,480000,-115.56999969482422
1685264331.8043761,510000,-110.11000061035156
1685264427.09329,540000,-86.52999877929688
1685264522.574345,570000,-69.95999908447266
1685264617.7751968,600000,-71.63999938964844
1685264711.451803,630000,-70.66999816894531
1685264803.2265074,660000,-65.55000305175781
1685264898.5108144,690000,-68.22000122070312
1685264994.088279,720000,-65.58999633789062
1685265089.446837,750000,-60.31999969482422
1685265184.0828824,780000,-60.52000045776367
1685265275.7024598,810000,-46.290000915527344
1685265367.2499082,840000,-46.08000183105469
1685265458.6728697,870000,-43.560001373291016
1685265551.334229,900000,-36.75
1685265645.1512783,930000,-34.2599983215332
1685265738.4256866,960000,-33.88999938964844
1685265833.9847586,990000,-36.47999954223633
1685265928.7310004,1020000,-38.91999816894531
1685266020.854162,1050000,-38.77000045776367
1685266112.4699204,1080000,-35.720001220703125
1685266204.2800207,1110000,-37.9900016784668
1685266296.1211765,1140000,-42.150001525878906
1685266387.8659203,1170000,-31.059999465942383
1685266479.3892474,1200000,-31.649999618530273
1685266570.903335,1230000,-33.900001525878906
1685266662.3879077,1260000,-34.75
1685266756.0719543,1290000,-35.779998779296875
1685266851.924335,1320000,-30.290000915527344
1685266947.7674782,1350000,-29.450000762939453
1685267043.284033,1380000,-37.22999954223633
1685267138.8437314,1410000,-41.689998626708984
1685267234.3795767,1440000,-41.689998626708984
1685267329.9839242,1470000,-39.849998474121094
1685267425.8414376,1500000,-40.959999084472656
1685267521.4170358,1530000,-42.54999923706055
1685267617.2626946,1560000,-42.810001373291016
1685267712.9483926,1590000,-46.900001525878906
1685267808.8834212,1620000,-44.97999954223633
1685267904.6299572,1650000,-35.130001068115234
1685268000.3986163,1680000,-35.810001373291016
1685268096.1372569,1710000,-38.279998779296875
1685268192.2216926,1740000,-76.05000305175781
1685268288.1059935,1770000,-76.98999786376953
1685268384.0181499,1800000,-73.72000122070312
1685268479.7050076,1830000,-74.7699966430664
1685268575.6195922,1860000,-75.76000213623047
1685268669.9192643,1890000,-72.61000061035156
1685268761.8118412,1920000,-34.459999084472656
1685268853.6443512,1950000,-33.349998474121094
1685268945.5039876,1980000,-33.630001068115234
1685269037.2965755,2010000,-30.959999084472656
1685269129.078786,2040000,-30.239999771118164
1685269220.97324,2070000,-34.689998626708984
1685269313.0029714,2100000,-30.280000686645508
1685269404.7924345,2130000,-29.450000762939453
1685269499.672169,2160000,-30.489999771118164
1685269595.5555425,2190000,-33.849998474121094
1685269691.721439,2220000,-43.4900016784668
1685269787.4818652,2250000,-39.2400016784668
1685269883.5501194,2280000,-38.95000076293945
1685269978.3362324,2310000,-36.5
1685270074.1013362,2340000,-34.650001525878906
1685270169.8135972,2370000,-34.439998626708984
1685270265.7745736,2400000,-33.84000015258789
1685270358.5065062,2430000,-22.790000915527344
1685270450.586092,2460000,-25.100000381469727
1685270543.754247,2490000,-26.079999923706055
1685270635.722291,2520000,-25.3799991607666
1685270727.5682123,2550000,-22.420000076293945
1685270819.6910536,2580000,-24.219999313354492
1685270911.6538396,2610000,-20.15999984741211
1685271003.8038013,2640000,-24.18000030517578
1685271096.4943793,2670000,-30.3799991607666
1685271192.3155453,2700000,-32.02000045776367
1685271285.8372936,2730000,-30.959999084472656
1685271378.6083462,2760000,-31.670000076293945
1685271471.232772,2790000,-36.369998931884766
1685271563.1295645,2820000,-33.880001068115234
1685271656.4442363,2850000,-35.29999923706055
1685271752.4856958,2880000,-38.90999984741211
1685271848.8053951,2910000,-32.36000061035156
1685271941.8333306,2940000,-15.829999923706055
1685272035.3334348,2970000,-9.569999694824219
1685272129.0557752,3000000,-10.210000038146973
1685272221.294853,3030000,-13.260000228881836
1685272314.8002186,3060000,-13.100000381469727
1685272406.863449,3090000,-13.430000305175781
1685272499.871201,3120000,-14.279999732971191
1685272592.6094456,3150000,-12.630000114440918
1685272688.2048812,3180000,-12.609999656677246
1685272782.306389,3210000,-17.389999389648438
1685272875.29291,3240000,-16.389999389648438
1685272971.4166732,3270000,-15.489999771118164
1685273067.6970701,3300000,-19.0
1685273163.3238869,3330000,-23.469999313354492
1685273259.6018033,3360000,-31.65999984741211
1685273355.643938,3390000,-25.59000015258789
1685273451.8533325,3420000,-25.440000534057617
1685273547.8628345,3450000,-29.68000030517578
1685273645.5373805,3480000,-26.700000762939453
1685273743.6668181,3510000,-25.780000686645508
1685273841.7332976,3540000,-24.549999237060547
1685273939.8598833,3570000,-23.530000686645508
1685274034.5736794,3600000,-24.790000915527344
1685274128.9171476,3630000,-22.93000030517578
1685274223.2203348,3660000,-23.729999542236328
1685274317.5509179,3690000,-22.260000228881836
1685274412.337371,3720000,-22.100000381469727
1685274506.6288073,3750000,-21.690000534057617
1685274601.1471848,3780000,-21.68000030517578
1685274695.5422792,3810000,-28.149999618530273
1685274790.3981407,3840000,-25.469999313354492
1685274884.790475,3870000,-23.579999923706055
1685274979.0854309,3900000,-26.510000228881836
1685275073.479668,3930000,-30.889999389648438
1685275167.825185,3960000,-28.3799991607666
1685275262.167546,3990000,-33.65999984741211
1685275356.7873485,4020000,-36.540000915527344
1685275451.103868,4050000,-32.25
1685275545.4861412,4080000,-40.16999816894531
1685275639.992564,4110000,-33.150001525878906
1685275734.5838454,4140000,-33.58000183105469
1685275828.9162507,4170000,-27.43000030517578
1685275925.9218824,4200000,-33.150001525878906
1685276020.8669276,4230000,-35.720001220703125
1685276114.9277925,4260000,-35.02000045776367
1685276209.371398,4290000,-27.93000030517578
1685276303.8981586,4320000,-26.239999771118164
1685276398.4066796,4350000,-13.489999771118164
1685276492.6671062,4380000,-17.93000030517578
1685276587.0036278,4410000,-20.079999923706055
1685276681.6054955,4440000,-21.860000610351562
1685276775.8678873,4470000,-21.209999084472656
1685276873.887033,4500000,-24.59000015258789
1685276972.0635197,4530000,-28.1299991607666
1685277067.2694795,4560000,-23.84000015258789
1685277165.3392024,4590000,-24.59000015258789
1685277263.5351763,4620000,-25.690000534057617
1685277361.225209,4650000,-28.59000015258789
1685277457.914869,4680000,-33.7400016784668
1685277552.3068705,4710000,-29.90999984741211
1685277646.6595001,4740000,-22.5
1685277740.8275259,4770000,-15.829999923706055
1685277835.0433044,4800000,-18.790000915527344
1685277929.1358578,4830000,-21.670000076293945
1685278025.4317863,4860000,-23.940000534057617
1685278123.5783103,4890000,-25.940000534057617
1685278222.010322,4920000,-26.219999313354492
1685278318.924143,4950000,-28.079999923706055
1685278417.0105371,4980000,-24.030000686645508
1685278515.1295705,5010000,-21.979999542236328
1685278613.3191411,5040000,-24.610000610351562
1685278711.4581301,5070000,-24.360000610351562
1685278809.741732,5100000,-24.530000686645508
1685278907.8516366,5130000,-26.040000915527344
1685279005.9317977,5160000,-27.270000457763672
1685279104.0532467,5190000,-29.579999923706055
1685279202.4136426,5220000,-25.450000762939453
1685279300.4644542,5250000,-29.110000610351562
1685279398.5553286,5280000,-29.600000381469727
1685279496.7181435,5310000,-29.770000457763672
1685279594.9904704,5340000,-23.84000015258789
1685279693.3159602,5370000,-26.3700008392334
1685279791.5939343,5400000,-20.59000015258789
1685279889.7325351,5430000,-21.959999084472656
1685279987.6064525,5460000,-21.040000915527344
1685280085.8574467,5490000,-24.739999771118164
1685280184.1253004,5520000,-22.540000915527344
1685280282.2979782,5550000,-23.0
1685280379.0359504,5580000,-25.760000228881836
1685280475.4483612,5610000,-24.079999923706055
1685280572.587936,5640000,-24.110000610351562
1685280666.8002126,5670000,-22.760000228881836
1685280760.9485214,5700000,-20.18000030517578
1685280854.8902762,5730000,-23.450000762939453
1685280949.3173618,5760000,-22.110000610351562
1685281043.469139,5790000,-21.65999984741211
1685281137.9398646,5820000,-26.25
1685281232.4329047,5850000,-24.34000015258789
1685281330.5578005,5880000,-28.559999465942383
1685281428.646289,5910000,-31.719999313354492
1685281526.8350775,5940000,-34.25
1685281621.8496106,5970000,-36.220001220703125
1685281717.3636632,6000000,-27.649999618530273
1685281815.4537024,6030000,-26.110000610351562
1685281913.9030733,6060000,-27.190000534057617
1685282008.2092133,6090000,-30.170000076293945
1685282102.28711,6120000,-26.3799991607666
1685282196.34062,6150000,-28.860000610351562
1685282290.4032881,6180000,-27.1299991607666
1685282384.5917192,6210000,-30.56999969482422
1685282480.690265,6240000,-29.690000534057617
1685282578.6982174,6270000,-31.389999389648438
1685282676.7526052,6300000,-32.099998474121094
1685282774.7587357,6330000,-23.06999969482422
