Wall time,Step,Value
1685195176.357835,30000,-92.69999694824219
1685195274.1556787,60000,-105.4000015258789
1685195372.02608,90000,-203.27777099609375
1685195469.7455137,120000,-192.26229858398438
1685195567.749859,150000,-159.4250030517578
1685195664.1251843,180000,-139.8865966796875
1685195760.4352474,210000,-137.82000732421875
1685195854.7281122,240000,-92.73999786376953
1685195948.757303,270000,-87.02999877929688
1685196042.9413073,300000,-90.94000244140625
1685196136.8856559,330000,-100.23999786376953
1685196230.8720522,360000,-108.5999984741211
1685196324.9091136,390000,-124.55999755859375
1685196418.9548388,420000,-125.11000061035156
1685196512.9622984,450000,-109.80999755859375
1685196606.9722912,480000,-111.88999938964844
1685196704.4014952,510000,-97.72000122070312
1685196802.3179226,540000,-65.5999984741211
1685196900.421457,570000,-55.150001525878906
1685196998.3850656,600000,-59.91999816894531
1685197096.3955252,630000,-66.9800033569336
1685197194.278438,660000,-80.47000122070312
1685197292.3524213,690000,-85.31999969482422
1685197390.4138849,720000,-87.91999816894531
1685197487.985995,750000,-91.16000366210938
1685197581.9361446,780000,-84.63999938964844
1685197675.9074068,810000,-86.08000183105469
1685197769.995227,840000,-85.0999984741211
1685197864.3634825,870000,-81.01000213623047
1685197957.7322555,900000,-65.51000213623047
1685198051.3373501,930000,-57.36000061035156
1685198144.5448291,960000,-52.54999923706055
1685198237.745216,990000,-65.80000305175781
1685198333.3012376,1020000,-67.47000122070312
1685198428.1132886,1050000,-77.66999816894531
1685198525.2103987,1080000,-82.18000030517578
1685198622.281748,1110000,-81.86000061035156
1685198717.7101033,1140000,-82.0199966430664
1685198814.7178502,1170000,-81.45999908447266
1685198912.0311153,1200000,-80.05999755859375
1685199009.3261657,1230000,-74.19999694824219
1685199106.5293465,1260000,-70.05999755859375
1685199203.8539429,1290000,-71.41000366210938
1685199301.2077332,1320000,-57.86000061035156
1685199398.6152785,1350000,-52.9900016784668
1685199495.8910987,1380000,-52.70000076293945
1685199593.3108933,1410000,-50.689998626708984
1685199690.5953271,1440000,-48.11000061035156
1685199788.0165293,1470000,-44.630001068115234
1685199885.4443436,1500000,-45.189998626708984
1685199982.872987,1530000,-47.209999084472656
1685200079.349598,1560000,-45.0099983215332
1685200174.5339544,1590000,-49.0099983215332
1685200271.754778,1620000,-68.44000244140625
1685200369.2256775,1650000,-82.0
1685200466.69586,1680000,-85.4800033569336
1685200563.8913836,1710000,-85.9800033569336
1685200661.2964501,1740000,-86.79000091552734
1685200758.4051156,1770000,-86.30000305175781
1685200851.8359647,1800000,-94.91999816894531
1685200945.4416075,1830000,-97.11000061035156
1685201039.2500756,1860000,-95.81999969482422
1685201133.0230515,1890000,-117.08999633789062
1685201226.6761189,1920000,-83.4000015258789
1685201322.7202332,1950000,-104.13999938964844
1685201419.9924626,1980000,-104.47000122070312
1685201517.4159575,2010000,-110.43000030517578
1685201615.0210423,2040000,-108.0
1685201712.554027,2070000,-111.13999938964844
1685201807.8913875,2100000,-109.36000061035156
1685201901.3302922,2130000,-103.69999694824219
1685201997.1767142,2160000,-87.27999877929688
1685202094.5770738,2190000,-89.26000213623047
1685202191.993048,2220000,-90.95999908447266
1685202289.2940094,2250000,-68.11000061035156
1685202386.7082646,2280000,-64.72000122070312
1685202484.1403282,2310000,-65.38999938964844
1685202581.5727646,2340000,-59.5
1685202679.2563899,2370000,-48.75
1685202776.6574848,2400000,-44.040000915527344
1685202873.4440186,2430000,-41.75
1685202967.0222387,2460000,-45.540000915527344
1685203060.7417083,2490000,-47.56999969482422
1685203154.706936,2520000,-47.40999984741211
1685203248.7100363,2550000,-55.400001525878906
1685203342.7505627,2580000,-42.97999954223633
1685203436.691777,2610000,-45.7400016784668
1685203530.7315948,2640000,-51.18000030517578
1685203627.9232552,2670000,-55.36000061035156
1685203725.625789,2700000,-58.220001220703125
1685203823.2196493,2730000,-56.83000183105469
1685203920.8557515,2760000,-59.209999084472656
1685204018.4564831,2790000,-52.189998626708984
1685204115.9182951,2820000,-52.86000061035156
1685204210.1279507,2850000,-55.91999816894531
1685204303.7144554,2880000,-58.5099983215332
1685204397.4546473,2910000,-58.790000915527344
1685204491.0713475,2940000,-57.9900016784668
1685204585.1437614,2970000,-52.849998474121094
1685204682.7187648,3000000,-60.95000076293945
1685204780.4340115,3030000,-53.630001068115234
1685204878.2029123,3060000,-51.650001525878906
1685204975.6727662,3090000,-50.36000061035156
1685205073.4510014,3120000,-48.88999938964844
1685205170.98787,3150000,-42.66999816894531
1685205268.875359,3180000,-40.310001373291016
1685205366.4400487,3210000,-40.9900016784668
1685205464.145003,3240000,-36.470001220703125
1685205561.8618317,3270000,-32.52000045776367
1685205659.714663,3300000,-34.099998474121094
1685205757.3935595,3330000,-35.56999969482422
1685205855.1183138,3360000,-36.08000183105469
1685205952.721116,3390000,-36.83000183105469
1685206050.4183028,3420000,-36.61000061035156
1685206148.1586096,3450000,-32.56999969482422
1685206242.1115744,3480000,-31.549999237060547
1685206336.0061085,3510000,-36.95000076293945
1685206429.8975148,3540000,-38.61000061035156
1685206523.9052618,3570000,-37.61000061035156
1685206617.772376,3600000,-36.83000183105469
1685206711.5541403,3630000,-42.08000183105469
1685206805.3101628,3660000,-40.33000183105469
1685206899.0779536,3690000,-37.470001220703125
1685206992.9481447,3720000,-34.599998474121094
1685207087.840101,3750000,-35.86000061035156
1685207185.4781322,3780000,-35.81999969482422
1685207281.504042,3810000,-37.97999954223633
1685207375.4948752,3840000,-36.060001373291016
1685207469.4958332,3870000,-37.0
1685207563.3704686,3900000,-36.11000061035156
1685207657.3171082,3930000,-37.15999984741211
1685207751.0296443,3960000,-42.150001525878906
1685207844.9330933,3990000,-40.209999084472656
1685207940.200464,4020000,-37.880001068115234
1685208038.0091834,4050000,-40.849998474121094
1685208134.2423496,4080000,-40.04999923706055
1685208230.1573713,4110000,-40.88999938964844
1685208327.8216867,4140000,-40.5
1685208425.5804791,4170000,-42.09000015258789
1685208523.5010629,4200000,-37.59000015258789
1685208621.46551,4230000,-36.0099983215332
1685208719.4930067,4260000,-33.29999923706055
1685208814.1076574,4290000,-35.7599983215332
1685208907.9751124,4320000,-42.2400016784668
1685209002.1565452,4350000,-50.18000030517578
1685209096.5961692,4380000,-46.47999954223633
1685209194.4860601,4410000,-45.45000076293945
1685209292.1442747,4440000,-57.119998931884766
1685209389.60532,4470000,-52.880001068115234
1685209483.3722396,4500000,-57.61000061035156
1685209578.0399237,4530000,-56.279998779296875
1685209672.5385435,4560000,-62.0
1685209767.5735457,4590000,-59.119998931884766
1685209866.1406162,4620000,-57.939998626708984
1685209964.4521554,4650000,-57.61000061035156
1685210059.607777,4680000,-46.79999923706055
1685210154.4220152,4710000,-27.520000457763672
1685210251.509818,4740000,-30.100000381469727
1685210350.2237206,4770000,-16.3799991607666
1685210448.6928527,4800000,-19.290000915527344
1685210547.3473892,4830000,-23.530000686645508
1685210645.9596052,4860000,-27.729999542236328
1685210743.4561646,4890000,-31.579999923706055
1685210838.2111142,4920000,-32.040000915527344
1685210933.000712,4950000,-39.58000183105469
1685211027.7819371,4980000,-47.11000061035156
1685211122.5831723,5010000,-82.94000244140625
1685211217.5834327,5040000,-78.79000091552734
1685211312.341372,5070000,-80.69999694824219
1685211408.4796696,5100000,-81.73999786376953
1685211506.8620439,5130000,-80.5999984741211
1685211605.52381,5160000,-84.68000030517578
1685211704.3050673,5190000,-36.40999984741211
1685211802.9419227,5220000,-33.22999954223633
1685211901.7118933,5250000,-23.709999084472656
1685212000.4245038,5280000,-14.930000305175781
1685212096.502061,5310000,-14.800000190734863
1685212193.7924595,5340000,-10.739999771118164
1685212290.0657527,5370000,-11.84000015258789
1685212387.111277,5400000,-14.65999984741211
1685212484.2222397,5430000,-13.069999694824219
1685212582.2492533,5460000,-24.469999313354492
1685212680.9400587,5490000,-28.299999237060547
1685212779.4678218,5520000,-33.47999954223633
1685212877.9806142,5550000,-39.150001525878906
1685212976.443147,5580000,-34.689998626708984
1685213074.8526342,5610000,-40.15999984741211
1685213173.5432503,5640000,-31.950000762939453
1685213268.2879357,5670000,-26.469999313354492
1685213362.8592093,5700000,-24.299999237060547
1685213459.211312,5730000,-29.18000030517578
1685213555.7686803,5760000,-33.88999938964844
1685213651.0751472,5790000,-29.3700008392334
1685213746.2047472,5820000,-37.18000030517578
1685213841.176354,5850000,-41.13999938964844
1685213936.234393,5880000,-42.689998626708984
1685214031.1475978,5910000,-40.41999816894531
